lead_id,classified_at,model,is_cut,confidence,institution_name_raw,unitid,state,cut_type,announcement_date,scale_text,summary,notes
0df984e28337db3f,2026-07-14,claude-haiku-4-5-20251001,true,high,Martin University,151810,Indiana,institution_closure,,,"Martin University, located in Indianapolis, Indiana, has closed, impacting the Martindale-Brightwood community. The closure represents a complete institutional shutdown affecting students, staff, and local residents.",supabase_mapping_classified_state
1233060a6c333f78,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns workforce restructuring at consulting firms (the 'Big Four'), not U.S. colleges or universities, and is outside the scope of higher education budget cut tracking.",
1415082b3c64bc18,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns AI-driven layoffs at a private enterprise (appears to reference Google or similar tech company), not a U.S. four-year college or university.",
145a473f30e2507f,2026-07-14,claude-haiku-4-5-20251001,true,high,Louisiana State University,159382,Louisiana,staff_layoff,2026-07-08,multiple positions including CFO and DEI officers,"LSU eliminated multiple staff positions in layoffs announced in early July 2026, including the CFO role and former DEI officers. The specific number of total positions eliminated was not provided in the available headline and truncated article text.",supabase_mapping_classified_state
150353ac6573f16e,2026-07-15,claude-haiku-4-5-20251001,true,medium,McNary Campus,,Oregon,campus_closure,,underclassmen programs,"McNary campus is closing for underclassmen, effectively suspending lower-division student operations at this Oregon institution. The exact scope and timeline of the closure are not detailed in the available headline and truncated article text.",classified_name_only
1667ecc4a9f57d37,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,"This article covers tech industry layoffs, not U.S. four-year college or university budget cuts.",
16839f9fb83e0366,2026-07-14,claude-haiku-4-5-20251001,true,medium,,,,department_closure,2026-07-01,,LibTech Desk and two libraries closed with unexpected employee layoffs. Insufficient information provided to identify the specific institution and scale of cuts.,
168f9b6ae7eedd80,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article is from Jakarta Globe (Indonesian publication) and appears to reference a university in Jakarta (UGM - Universitas Gadjah Mada, an Indonesian institution), not a U.S. four-year college or university. Therefore it is outside the scope of this tracker.",
1870bb50d54eaab3,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns Oracle Corporation's layoffs in the technology sector, not budget cuts at U.S. four-year colleges and universities.",
1b85d5726fb1a17d,2026-07-14,claude-haiku-4-5-20251001,true,medium,Cyber Florida,,Florida,staff_layoff,,,"Cyber Florida announced layoffs following the departure of its executive director, indicating organizational restructuring. The article does not specify the number of positions affected or additional details about the cuts.",classified_name_only
1d595989c609b35a,2026-07-14,claude-haiku-4-5-20251001,true,medium,,,,staff_layoff,,,"AFSCME members rallied against significant layoffs at two universities described as the largest in recent years. Specific institution names, states, number of positions affected, and announcement dates cannot be determined from the headline and truncated article text provided.",
2a0a065c772b92a3,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns Lazada, an e-commerce company operating in Southeast Asia, and is not related to U.S. four-year colleges or universities.",
2db04ca15f7752cc,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,"This article reports on a for-profit nursing program avoiding early closure, which indicates a positive outcome rather than a budget cut or closure announcement.",
2df96c5d08366a1d,2026-07-14,claude-haiku-4-5-20251001,true,high,University of Vermont Medical Center,,Vermont,staff_layoff,,hundreds of healthcare workers,"UVM Health announced layoffs affecting hundreds of healthcare workers, prompting a rally by affected employees. The specific number of positions eliminated and departments affected are not detailed in the headline.",classified_name_only
2e62e1d84ff172c5,2026-07-14,claude-haiku-4-5-20251001,true,high,Harvard University,166027,Massachusetts,staff_layoff,2026-07-11,,Harvard's Faculty of Arts and Sciences (FAS) is beginning layoff notifications. The article does not provide specific numbers of positions affected.,supabase_mapping_classified_state
32061100f9a4d724,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,,
3223d37493b861c4,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns Ubisoft Barcelona, a video game company, not a U.S. four-year college or university, and is outside the scope of this tracker.",
35353952c8604f1b,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article covers a tech worker's experience with H-1B visa sponsorship and job insecurity at Google, not budget cuts at U.S. four-year colleges or universities.",
3a044e87985355cc,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"Cape Fear Valley Health is a healthcare system, not a four-year college or university. This item is outside the scope of a tracker for budget cuts at U.S. higher education institutions.",
3ab0e92a8c8c1475,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,"This article discusses layoffs in the video game industry, not at U.S. colleges or universities, and is not relevant to the budget cuts tracker.",
3b692caf3530a0f0,2026-07-15,claude-haiku-4-5-20251001,true,high,Long Island Business Institute,,New York,institution_closure,2024-01-16,,"Long Island Business Institute is ceasing operations, with SUNY Empire State College providing a teach-out program for remaining students to complete their degrees.",classified_name_only
4279143e220061a2,2026-07-14,claude-haiku-4-5-20251001,true,medium,,,,other,,,"Forbes reports that U.S. four-year colleges and universities are implementing buyouts, layoffs, and hiring freezes due to budget constraints. The article does not identify specific institutions or provide details on scale or announcement dates.",
43a7e5818fe54e0f,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,This article concerns Microsoft's Xbox division leadership changes and is unrelated to U.S. four-year colleges and universities.,
469104d8e16552d6,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article concerns ETS's acquisition of ACT, a standardized testing organization. While ACT may have experienced losses and layoffs, this is a corporate acquisition story rather than a budget cut at a four-year college or university.",
4c6bed851f146cc7,2026-07-15,claude-haiku-4-5-20251001,false,high,,,,,,,This article concerns tech industry layoffs affecting Indian workers and does not report on budget cuts at U.S. four-year colleges and universities.,
4cf5ee4befba0aa9,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article covers a Google employee's experience with H-1B visa sponsorship and layoffs at a technology company, not budget cuts at U.S. four-year colleges or universities.",
4e246d81683a9bd7,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"Article headline references unfunded water mandates and plant closure in Terre Haute, Indiana, but does not indicate a budget cut at a four-year college or university. The article text is not provided, making full assessment impossible, but the headline suggests infrastructure or municipal facility issues rather than institutional budget reductions.",
4e630cec2f086201,2026-07-14,claude-haiku-4-5-20251001,true,high,Temple University,216339,Pennsylvania,staff_layoff,2026-07-09,,"Temple University announced plans for layoffs as part of a broader response to budget pressures, while simultaneously raising tuition. The announcement coincides with Pennsylvania's unveiling of a new scholarship program.",supabase_mapping_classified_state
5059da6a88185e6b,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"This article discusses general Q2 layoffs across Western New York industries, not higher education budget cuts. Without access to the full article text, no specific college or university budget cuts can be identified.",
538caf2e557b63e2,2026-07-14,claude-haiku-4-5-20251001,false,high,,,,,,,"Moi University is a Kenyan institution, not a U.S. four-year college or university, and therefore falls outside the scope of this tracker.",
545ed281e2e04350,2026-07-14,claude-haiku-4-5-20251001,true,high,Temple University,216339,Pennsylvania,staff_layoff,2026-07-03,,Temple University announced it expects 'inevitable' layoffs as the institution faces an $85 million deficit. The specific number of positions affected was not disclosed in the available article text.,supabase_mapping_classified_state
